brand,car_age,km_driven,engine_capacity,mileage,previous_owners,fuel_type,transmission,selling_price
BMW,8,129398,2841,18.929548988912337,3,Diesel,Manual,912932
Honda,7,115677,1941,13.969525403880361,3,Diesel,Automatic,1727671
Mercedes,11,53320,2435,19.92953417190803,2,Petrol,Manual,1181271
Tata,13,130354,2203,22.22409592810809,3,Petrol,Automatic,2429537
BMW,8,93009,2743,21.670378647169798,2,CNG,Manual,1192206
Toyota,6,33625,1478,21.412769963961725,1,Diesel,Manual,2438154
BMW,9,29089,806,12.815836085383781,1,CNG,Automatic,203285
Mercedes,5,41487,2391,11.32577420476778,3,CNG,Manual,1396352
Tata,3,115448,1632,20.484232427310786,3,Petrol,Manual,1904491
Honda,3,55138,2610,15.52520820691527,3,CNG,Manual,1581688
Mercedes,1,59061,1713,16.48519339605021,2,Diesel,Automatic,1302491
Mercedes,12,106376,2811,10.467236391900865,3,Petrol,Manual,865979
Toyota,8,84134,2242,13.893646739125739,3,Diesel,Automatic,1452038
Mahindra,2,52055,2250,10.50514605811696,1,Diesel,Manual,984278
Tata,3,24508,2302,23.187786589018714,3,Petrol,Manual,2143508
Hyundai,8,115169,925,13.650950248277958,1,Diesel,Manual,707553
Mercedes,14,13125,1616,18.36005754359512,3,Petrol,Manual,1176778
Mahindra,8,41059,2629,10.584689809916956,1,Diesel,Automatic,1455802
Hyundai,14,108409,1375,20.00271086958487,3,Petrol,Manual,1481745
Tata,11,10704,2215,14.845410186311408,1,CNG,Automatic,731661
Maruti,4,116279,1729,23.468787804364986,2,Diesel,Automatic,2102871
Mahindra,4,123516,2263,23.321772834010538,1,Petrol,Manual,822215
Audi,5,119044,1632,14.879359275426218,1,Diesel,Manual,2011049
Maruti,6,34165,1854,23.51441343535702,1,Diesel,Automatic,546229
Toyota,5,72203,2448,24.94236510248168,3,Diesel,Automatic,1366572
BMW,14,9114,2700,22.38123496185922,3,Petrol,Manual,763508
Honda,7,41321,2257,22.673070216328433,3,CNG,Manual,1764547
Audi,2,78297,2199,13.735131041636349,2,CNG,Manual,731930
